id;timestamp;smallGrantOrRelevant;checked;publicarEnBoletin;publicarEnDbPublica;estatus;daysLeft;nombre;tipo;granArea1;granArea2;area3;area4;area5;area6;area7;link;descripcion;nota;restriccionesParaAplicarElegibilidad;basedOn;entidadOtorgante;scopeGeografico;scopeEconoPolitico;scopeTematico;destinatarios1;destinatarios2;destinatarios3;destinatarios4;duracionDeLosProyectosPeriodoDeFinanciacion;monedaOriginal;montoEnMonedaOriginal;montoMinimoAproxEnUSD;montoMaximoAproxEnUSD;montoTipicoPromedioOtorgadoUSD;periodicidad;dead1;dead2;dead3;dead4;fechaProximoDeadline;fechaDecisionPublicacionDeResultados;aplicarMasDeUnaVez;aim;n;source;keywordsQueried;ofibusubID;mergedDocIDBoletin16Diciembre2023;mergedDocURLBoletin16Diciembre2023;linkToMergedDocBoletin16Diciembre2023;documentMergeStatusBoletin16Diciembre2023;mergedDocIDBoletinMarzo2024;mergedDocURLBoletinMarzo2024;linkToMergedDocBoletinMarzo2024;documentMergeStatusBoletinMarzo2024;Merged Doc ID - BOLETIN MARZO 2024;Merged Doc URL - BOLETIN MARZO 2024;Link to merged Doc - BOLETIN MARZO 2024;Document Merge Status - BOLETIN MARZO 2024
11;2/8/2022;TRUE;TRUE;publicar;publicar;Abierto;Abierto;Grants in Natural and Earth Sciences;Research and publications;Agricultural and Biological Sciences;Biodiversity and Wildlife Conservation;Marine and Ocean Sciences;Marine Biology;Environmental sciences;Climate change;;https://www.vetlesenfoundation.org/index.php/application-guidelines/;The G. Unger Vetlesen Foundation makes grants for research and operational support in marine and ocean conservation, earth sciences, climate change, and wildlife management. Past grants range from US$25 thousand to US$700 thousand. Grants are to U.S. nonprofit organizations for projects ranging from local to international. Applications (first stage) are accepted on a continuous basis.;;;USA;G. Unger Vetlesen Foundation;;;;;;;;;;;;;;year-round;Ongoing;;;;Ongoing;;;;FALSE;https://www.terravivagrants.info/grantdetail.php?id=85384;biodiversity, conservation, wildlife, research, education, training, worldwide;OABS6669327;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
12;2/3/2021;TRUE;TRUE;publicar;publicar;Abierto;Abierto;Project Apis m. Research Grant;Research and publications;Agricultural and Biological Sciences;Apicultura;Honey Bees;Sustainable Development and Conservation;Apis;;;https://www.projectapism.org/request-funding.html;Since its inception in 2006, Project Apis m. has infused over $6 million into bee research and programs in the USA and Canada, including more than 100 projects involving research institutions throughout North America. We have brought new technologies to honey bee health research, discovered new pathogens, developed Best Management Practices programs, and are supporting long-term stock improvement.;Project Apis m. funds research institutions, USDA-ARS, universities, agricultural extension, etc. primarily in the USA and Canada. International applications can be considered, but will be held to the same expectation of benefitting agriculture and bees in the USA and Canada. Our scientific advisors are attentive to scientific methods, proper controls, and reproducible results. Proposals should be clear cut, have practical implications, and generally lend themselves to statistical interpretation.;;;Project Apis m.;;;;Academic Institutions;;;;;;Up to 40,000 USD;;;;year-round;Ongoing;;;;Ongoing;;;;FALSE;https://www.mendeley.com/research-funding/Project_Apis_m;;OABS8354885;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
13;2/3/2021;TRUE;TRUE;publicar;publicar;Abierto;Abierto;Rufford Fundation small grants;Research and publications;Agricultural and Biological Sciences;Biodiversity and Wildlife Conservation;;;;;;https://apply.ruffordsmallgrants.org/;Prioridad a investigaciones ecológicas con foco en la conservación. El financiamiento esta orientado a las ideas innovadoras y el fortalecimiento de la etapa inicial en carreras de investigación independiente en ecología.;Applications for grants will still be accepted and processed in the normal way. However, if a grant is approved, the funds will not be released until the pandemic is deemed to be over.;Enfocado en (no restringido a) MSc, estudiantes de doctorado y investigadores en etapas iniciales de su carrera;United Kingdom;Rufford Fundation;worldwide;Países en desarrollo;Conservación de la biodiversidad;;Graduate Students;;Mid-Career and Experienced Researchers;Minimo 12 meses;libras esterlinas;5000-15000;;20.000;8000;year-round;Ongoing;;;;Ongoing;3 meses posterior a la presentacion completa;Si no seleccionado, el mismo proyecto puede volver a presentarse despues de 12 meses. Sin limite para proyectos distintos;Financiación inicial para proyectos de conservación de la naturaleza en países en desarrollo;FALSE;"Componentes críticos de la aplicación
Los proyectos deben centrarse en las cuestiones de naturaleza/biodiversidad en los países no pertenecientes al primer mundo
El impacto debe ser pragmático, medible y duradero
La subvención debe constituir una parte significativa del presupuesto total
Los fondos deben utilizarse predominantemente para actividades sobre el terreno
El proyecto debe tener una duración mínima de 12 meses";;OABS5764791;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
14;2/3/2021;TRUE;TRUE;publicar;publicar;Abierto;Abierto;Small Grants for Student Research;Research and publications;Agricultural and Biological Sciences;Botany;Plant Science;;;;Zingiberales;https://www.heliconia.org/research;The Heliconia Society International makes small grants supporting research on any aspects of the botany and horticulture of the Zingiberales conducted by graduate and post-doctoral students enrolled at recognized universities and research institutions. Annual grants are US$1,000. Awardees will also receive one year's free membership to the HSI, and a summary of their research proposal will be published in the HSI Bulletin. There is no deadline to apply.;;;India;Heliconia Society International;;;;;;;;;;;;;;year-round;Ongoing;;;;Ongoing;;;;FALSE;https://www.terravivagrants.info/grantdetail.php?id=85356;biodiversity, conservation, wildlife, research, education, training, worldwide;OABS7260995;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
15;2/3/2021;TRUE;TRUE;publicar;publicar;Abierto;Abierto;Funding for Research Stays in Norway;Research Stays;Agricultural and Biological Sciences;Environmental science;Climate change;Sustainable energy;Ocean research;;;https://www.forskningsradet.no/en/call-for-proposals/2019/funding-for-research-stays-in-norway-for-guest-researchers/;The Research Council of Norway funds researchers from other countries to carry out a research stay at a Norwegian research organization. Research stays can last up to 12 months. The support under this call applies across multiple activities, including climate change, sustainable energy, or ocean research. The application has to be submitted by a Norwegian research organization in support of the foreign visiting researcher. This call has an open-ended submission deadline.;;;Norway;Research Council of Norway;;;;;;;;;;;;;;year-round;Ongoing;;;;Ongoing;;;;FALSE;https://www.terravivagrants.info/grantdetail.php?id=84578;biodiversity, conservation, wildlife, research, education, training, worldwide;OABS2052861;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
16;31/7/2022;TRUE;TRUE;;publicar;>4 meses;471;Gender and Artificial Intelligence Challenge;Prizes and Awards;ALL AREA;;;;;;;https://convocatorias.iadb.org/en/bid-lab/gender-and-artificial-intelligence-challenge;desafío de innovación abierta para identificar, pilotar y acelerar soluciones tecnológicas basadas en inteligencia artificial (IA) que contribuyan , a través del concepto de justicia algorítmica, para reducir los sesgos y la discriminación por razón de sexo y género.;;;;;;;;;;;;;;;;;;;31-ago-22;;;;31-ago-25;;;;FALSE;;;;;;;;;;;;;;;
17;2/8/2022;TRUE;TRUE;;publicar;>4 meses;461;Solicitudes abiertas para el programa Researcher Connect del British Council;Programs and projects;All Areas of scienses;;;;;;;https://bit.ly/2VotZZ1;mejorar la productividad de los investigadores individuales y, a su vez, proporcionar a las universidades e instituciones de investigación clientes una ventaja competitiva en el rápido movimiento. entorno de investigación internacional .;;;;;;;;;;;;;;;;;;;21-ago;;;;21-ago-25;;;;FALSE;;;;;;;;;;;;;;;
18;2/8/2022;TRUE;TRUE;publicar;;Vencido;0;BIOCHEMISTRY GENETICS AND MOLECULAR BIOLOGY;titulo;Biochemistry Genetics and Molecular Biology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;;;OABS1939198;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
19;31/7/2022;TRUE;TRUE;;publicar;>4 meses;471;World Academy of Sciences -- Biotechnology Research Fellowships in India;Fellowships scholarships or trainings;Biochemistry Genetics and Molecular Biology;Agricultural and Biological Sciences;;;;;;https://twas.org/opportunity/twas-dbt-postgraduate-fellowship-programme;programa de becas para académicos de países en desarrollo para realizar investigaciones para obtener un doctorado en biotecnología.;;;;;;;;;;;;;;;;;;;31-ago-22;;;;31-ago-25;;;;FALSE;;;;;;;;;;;;;;;
20;2/8/2022;TRUE;TRUE;publicar;;Vencido;0;CHEMICAL AND BIO ENGINEERING;titulo;Chemical and Bio Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;;;OABS2838426;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
21;2/8/2022;TRUE;TRUE;publicar;;Vencido;0;CONSERVATION;titulo;Chemical and Bio Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;;;OABS2838426;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
22;31/7/2022;TRUE;TRUE;;publicar;>4 meses;464;Both ENDS — JWH Initiative;Programs and projects;Chemical and Bio Engineering;Sustainable Development;;;;;;http://www.jwhinitiative.org/grantees/upcoming/;ofrece subvenciones para promover el liderazgo de jóvenes que trabajan para organizaciones ambientales de la sociedad civil o están afiliados a ellas en países en desarrollo y emergentes.JWH alienta especialmente la nominación de mujeres jóvenes y líderes de la comunidad local.;;;;;;;;;;;;;EUROS;;2500;7.000;;;24-ago-22;;;;24-ago-25;;;;FALSE;;;;;;;;;;;;;;;
23;2/8/2022;TRUE;TRUE;;publicar;>4 meses;363;Wildlife Acoustics – Bio-Acoustics Product Grants;Programs and projects;Conservation;;;;;;;https://www.wildlifeacoustics.com/grant-programm;avanzar en la investigación de la biología animal, el monitoreo del hábitat y la conservación del medio ambiente a través de la tecnología de grabación bioacústica;;;;;;;;;;;;;USD;4000;;;;;15-may;15-ago;15-nov;;15-may-25;;;;FALSE;;;;;;;;;;;;;;;
24;31/7/2022;TRUE;TRUE;;publicar;>4 meses;459;Morris Animal Foundation — Amphibian Conservation;Programs and projects;Conservation;;;;;;;https://www.morrisanimalfoundation.org/sites/default/files/filesync/FY23-Wildlife-RFP-Wild-Genomes-Proposal-Guidelines.pdf;financia a conservacionistas interesados ​​en aplicar conocimientos genéticos a la protección y gestión de la vida silvestre de anfibios.;;;;;;;;;;;;;;;;;;;19-ago-22;;;;19-ago-25;;;;FALSE;;;;;;;;;;;;;;;
25;2/8/2022;TRUE;TRUE;;publicar;>4 meses;461;Presentar propuestas para el bienestar y la ecología de los animales silvestres juveniles;Programs and projects;Conservation;;;;;;;https://www.wildanimalinitiative.org/research-fund/juvenile-welfare;Los proyectos relevantes pueden incluir estudios que extiendan las técnicas de evaluación del bienestar de los animales en cautiverio a los animales silvestres juveniles, o aquellos que demuestren cómo los conceptos ecológicos pueden relacionarse con la salud y el bienestar de los animales silvestres .;;;;;;;;;;;;;usd;;25000;250000;;;21-ago;;;;21-ago-25;;;;FALSE;;;;;;;;;;;;;;;
26;18/8/2022;TRUE;TRUE;;publicar;>4 meses;468;Future for Nature Foundation — Future for Nature Award 2023;Prizes and Awards;Conservation;;;;;;;https://futurefornature.org/apply/;El trabajo relacionado con la conservación y protección de especies en peligro de extinción es una prioridad.;;;;;;;;;;;;;EUROS;50000;;;;;28-ago-22;;;;28-ago-25;;;;FALSE;;;;;;;;;;;;;;;
27;31/7/2022;TRUE;TRUE;;publicar;>4 meses;471;Hawk Conservancy Trust — Marion Paviour Award;Prizes and Awards;Conservation;;;;;;;https://www.hawk-conservancy.org/conservation-research/marion-paviour-award/;apoya a los investigadores principiantes que trabajan en proyectos centrados en la conservación y/o investigación de aves rapaces.;;;;;;;;;;;;;LIBRAS;1000;;;;;31-ago-22;;;;31-ago-25;;;;FALSE;;;;;;;;;;;;;;;
28;31/7/2022;TRUE;TRUE;;publicar;>4 meses;478;Peoples Trust for Endangered Species — Conservation Insight Grants;Programs and projects;Conservation;;;;;;;https://ptes.org/grants/apply-grant/worldwide-grant-criteria/;subvenciones a investigadores científicos y conservacionistas de todo el mundo para trabajos que ayuden a preservar especies en peligro de extinción, ya sea mediante investigación o trabajo de campo aplicado;;;;;;;;;;;;;LIBRAS;;3000;10.000;;;7-sep-22;;;;7-sep-25;;;;FALSE;;;;;;;;;;;;;;;
29;31/7/2022;TRUE;TRUE;;publicar;>4 meses;486;World Water Challenge 2022 from Across the World;Prizes and Awards;Conservation;;;;;;;https://kiww.org/fairContents.do?FAIRMENU_IDX=5815&hl=ENG;Las solicitudes ya están abiertas para el World Water Challenge 2022, un concurso internacional para soluciones de agua.;;;;;;;;;;;;;USD;;1000;10.000;;;15-sep-22;;;;15-sep-25;;;;FALSE;;;;;;;;;;;;;;;
30;31/7/2022;TRUE;TRUE;;publicar;>4 meses;494;Lady Freethinker announces Urgent Need Fund;Programs and projects;Conservation;;;;;;;https://ladyfreethinker.org/urgent-needs-grants-program/;The Lady Freethinker se complace en anunciar una convocatoria abierta para el Fondo de Necesidades Urgentes para ayudar a las organizaciones involucradas en el rescate y cuidado de animales necesitados.;;;;;;;;;;;;;USD;;1000;10.000;;;23-sep-22;;;;23-sep-25;;;;FALSE;;;;;;;;;;;;;;;
31;2/8/2022;TRUE;TRUE;;publicar;>4 meses;501;Nominations for the 2023 Stockholm Water Prize are Now Open;Prizes and Awards;Conservation;Environmental sciences;;;;;;https://siwi.org/stockholm-water-prize/nominate?iproject=stockholm-water-prize;personas y organizaciones que han hecho contribuciones destacadas al uso sostenible y la protección de los recursos hídricos del mundo.;;;;;;;;;;;;;USD;;100000;500.000;;;30-sep-22;;;;30-sep-25;;;;FALSE;;;;;;;;;;;;;;;
32;7/10/2021;TRUE;TRUE;;publicar;>4 meses;501;Fortalecimiento del trabajo decente en el sector pesquero en América del Sur Departamento de Trabajo Oficina de Asuntos Laborales Internacionales;Programs and projects;Conservation;Sustainable Development;;;;;;https://www.grants.gov/web/grants/view-opportunity.html?oppId=335252;implementar un proyecto con el objetivo de fortalecer el trabajo decente en el sector pesquero en América del Sur. Para apoyar el logro del objetivo, el proyecto debe diseñarse para lograr (o contribuir sustancialmente;;;;;;;;;;;;;usd;5000000;;;;;30-sep;;;;30-sep-25;;;;FALSE;;;;;;;;;;;;;;;
33;2/8/2022;TRUE;TRUE;;publicar;>4 meses;511;"The Conservation Leadership Program (CLP) makes grants to advance the leadership capacity of early-career conservationists in the developing world. Grants combine research with conservation. CLP provides support to small teams of at least three individuals. Future Conservationist Awards are up to US$15 thousand. Follow-Up Awards and Leadership Awards are up to US$25 thousand and US$50 thousand, respectively. CLP explains each category of award; eligibility criteria; and details on how to apply. CLP offers support to early-career conservationists living and working in low- and middle-income economies in Africa, Asia, the Pacific, Latin America and the Caribbean, Eastern and South-eastern Europe and the Middle East. The application deadline is 10 October 2022.";Programs and projects;Conservation;;;;;;;https://www.conservationleadershipprogramme.org/grants/grant-overview/future-conservationist-award/;otorga subvenciones para promover la capacidad de liderazgo de los conservacionistas en las primeras etapas de su carrera en el mundo en desarrollo. Las subvenciones combinan la investigación con la conservación.;;;;;;;;;;;;;USD;;15000;25.000;;;10-oct-22;;;;10-oct-25;;;;FALSE;;;;;;;;;;;;;;;
34;7/10/2021;TRUE;TRUE;;publicar;>4 meses;533;Small Grants for Well-Being and Protection of Birds;Programs and projects;Conservation;;;;;;;https://capecodbirdclub.org/wordpress/conservation-education/;apoyar los esfuerzos de conservación relacionados directa o indirectamente con el bienestar o la protección de las aves.;;;;;;;;;;;;;US;1000;;;;;1-nov-22;;;;1-nov-25;;;;FALSE;;;;;;;;;;;;;;;
35;13/4/2021;TRUE;TRUE;;publicar;>4 meses;556;USAID: Anuncio amplio de la agencia para paisajes sostenibles;Research and publications;Conservation;Environmental sciences;;;;;;https://www.grants.gov/web/grants/view-opportunity.html?oppId=329220;co-crear, co-diseñar, co-invertir y colaborar en la investigación, desarrollo, pilotaje y escalado de intervenciones innovadoras para reducir las emisiones de gases de efecto invernadero (GEI) terrestres y aumentar secuestro de carbono a largo plazo a gran escala.;organizaciones , empresas, fundaciones, empresas comunitarias y otras entidades públicas y privadas, instituciones académicas y de investigación, agencias gubernamentales de países socios e inversores a proponer enfoques novedosos o creativos para lograr estos objetivos. y al mismo tiempo promover el crecimiento económico inclusivo, conservar la biodiversidad y gestionar de manera sostenible los recursos naturales, promover los valores democráticos, promover la transparencia y el estado de derecho, y contribuir a una mayor prosperidad y bienestar.;;;USAID;;;plataformas unificadoras para la acción y otras soluciones que pueden hacer contribuciones transformadoras para reducir las emisiones de GEI terrestres y aumentar el secuestro de carbono a largo plazo en áreas boscosas y productivas. paisajes de todo el mundo.;;;;;;;0;;;;;24-nov-22;;;;24-nov-25;;;;FALSE;;;;;;;;;;;;;;;
